"","From","To","Type"
"1091","GMB","HAGM","Airport"
"1092","GDQ","HAGN","Airport"
"1093","JIM","HAJM","Airport"
"1094","LLI","HALL","Airport"
"1095","MQX","HAMK","Airport"
"1096","ASO","HASO","Airport"
"1097","BJM","HBBA","Airport"
"1098","HGA","HCMH","Airport"
"1099","BBO","HCMI","Airport"
"1100","KMU","HCMK","Airport"
"1101","ALY","HEAX","Airport"
"1102","ABS","HEBL","Airport"
"1103","CAI","HECA","Airport"
"1104","CWE","HECW","Airport"
"1105","HRG","HEGN","Airport"
"1106","EGH","HEGR","Airport"
"1107","LXR","HELX","Airport"
"1108","MUH","HEMM","Airport"
"1109","PSD","HEPS","Airport"
"1110","SKV","HESC","Airport"
"1111","ASW","HESN","Airport"
"1112","ELT","HETR","Airport"
"1113","EDL","HKEL","Airport"
"1114","GGM","HKKG","Airport"
"1115","KIS","HKKI","Airport"
"1116","KTL","HKKT","Airport"
"1117","LOK","HKLO","Airport"
"1119","MBA","HKMO","Airport"
"1121","WIL","HKNW","Airport"
"1123","WJR","HKWJ","Airport"
"1126","GHT","HLGT","Airport"
"1127","AKF","HLKF","Airport"
"1128","BEN","HLLB","Airport"
"1129","SEB","HLLS","Airport"
"1130","TIP","HLLT","Airport"
"1131","LMQ","HLMB","Airport"
"1133","HUQ","HLON","Airport"
"1135","LTD","HLTD","Airport"
"1137","GYI","HRYG","Airport"
"1138","KGL","HRYR","Airport"
"1139","KME","HRZA","Airport"
"1140","DOG","HSDN","Airport"
"1141","RSS","HSDZ","Airport"
"1142","ELF","HSFS","Airport"
"1143","KSL","HSKA","Airport"
"1144","KDX","HSLI","Airport"
"1145","EBD","HSOB","Airport"
"1146","JUB","HSSJ","Airport"
"1147","MAK","HSSM","Airport"
"1148","KRT","HSSS","Airport"
"1149","ARK","HTAR","Airport"
"1150","DAR","HTDA","Airport"
"1151","DOD","HTDO","Airport"
"1152","IRI","HTIR","Airport"
"1153","JRO","HTKJ","Airport"
"1154","LKY","HTLM","Airport"
"1155","MYW","HTMT","Airport"
"1156","MWZ","HTMW","Airport"
"1157","PMA","HTPE","Airport"
"1158","TGT","HTTG","Airport"
"1159","ZNZ","HTZA","Airport"
"1160","EBB","HUEN","Airport"
"1161","SRT","HUSO","Airport"
"1162","TIA","LATI","Airport"
"1163","BOJ","LBBG","Airport"
"1164","GOZ","LBGO","Airport"
"1165","PDV","LBPD","Airport"
"1166","SOF","LBSF","Airport"
"1167","SZR","LBSZ","Airport"
"1168","VAR","LBWN","Airport"
"1169","LCA","LCLK","Airport"
"1170","PFO","LCPH","Airport"
"1172","DBV","LDDU","Airport"
"1174","OSI","LDOS","Airport"
"1175","PUY","LDPL","Airport"
"1177","RJK","LDRI","Airport"
"1178","SPU","LDSP","Airport"
"1180","ZAG","LDZA","Airport"
"1181","ZAD","LDZD","Airport"
"1183","ABC","LEAB","Airport"
"1184","ALC","LEAL","Airport"
"1185","LEI","LEAM","Airport"
"1186","OVD","LEAS","Airport"
"1187","ODB","LEBA","Airport"
"1188","BIO","LEBB","Airport"
"1189","BCN","LEBL","Airport"
"1190","BJZ","LEBZ","Airport"
"1191","LCG","LECO","Airport"
"1193","GRO","LEGE","Airport"
"1194","GRX","LEGR","Airport"
"1196","IBZ","LEIB","Airport"
"1197","XRY","LEJR","Airport"
"1198","MJV","LELC","Airport"
"1199","MAD","LEMD","Airport"
"1200","AGP","LEMG","Airport"
"1201","MAH","LEMH","Airport"
"1204","PNA","LEPP","Airport"
"1207","ROZ","LERT","Airport"
"1208","SLM","LESA","Airport"
"1212","EAS","LESO","Airport"
"1213","SCQ","LEST","Airport"
"1214","LEU","LESU","Airport"
"1215","TOJ","LETO","Airport"
"1216","VLC","LEVC","Airport"
"1217","VLL","LEVD","Airport"
"1219","VIT","LEVT","Airport"
"1220","VGO","LEVX","Airport"
"1221","SDR","LEXJ","Airport"
"1223","SVQ","LEZL","Airport"
"1224","CQF","LFAC","Airport"
"1228","BYF","LFAQ","Airport"
"1229","LTQ","LFAT","Airport"
"1230","XVS","LFAV","Airport"
"1232","AGF","LFBA","Airport"
"1234","BOD","LFBD","Airport"
"1235","EGC","LFBE","Airport"
"1238","PIS","LFBI","Airport"
"1239","MCU","LFBK","Airport"
"1240","LIG","LFBL","Airport"
"1242","NIT","LFBN","Airport"
"1243","TLS","LFBO","Airport"
"1244","PUF","LFBP","Airport"
"1246","LDE","LFBT","Airport"
"1247","ANG","LFBU","Airport"
"1248","BVE","LFSL","Airport"
"1249","PGX","LFBX","Airport"
"1250","BIQ","LFBZ","Airport"
"1251","ZAO","LFCC","Airport"
"1254","LBI","LFCI","Airport"
"1255","DCM","LFCK","Airport"
"1259","RDZ","LFCR","Airport"
"1262","RYN","LFCY","Airport"
"1265","XMW","LFDB","Airport"
"1270","RCO","LFDN","Airport"
"1276","CMR","LFGA","Airport"
"1278","DLE","LFGJ","Airport"
"1281","OBS","LFHO","Airport"
"1282","LPY","LFHP","Airport"
"1289","ETZ","LFJL","Airport"
"1290","BIA","LFKB","Airport"
"1291","CLY","LFKC","Airport"
"1292","FSC","LFKF","Airport"
"1293","AJA","LFKJ","Airport"
"1294","PRP","LFKO","Airport"
"1297","AUF","LFLA","Airport"
"1298","CMF","LFLB","Airport"
"1299","CFE","LFLC","Airport"
"1300","BOU","LFLD","Airport"
"1303","QNJ","LFLI","Airport"
"1304","LYS","LFLL","Airport"
"1306","SYT","LFLN","Airport"
"1307","RNE","LFLO","Airport"
"1308","NCY","LFLP","Airport"
"1309","GNB","LFLS","Airport"
"1311","VAF","LFLU","Airport"
"1312","VHY","LFLV","Airport"
"1313","AUR","LFLW","Airport"
"1314","CHR","LFLX","Airport"
"1315","LYN","LFLY","Airport"
"1318","CEQ","LFMD","Airport"
"1319","EBU","LFMH","Airport"
"1321","CCF","LFMK","Airport"
"1322","MRS","LFML","Airport"
"1323","NCE","LFMN","Airport"
"1325","PGF","LFMP","Airport"
"1326","CTT","LFMQ","Airport"
"1328","MPL","LFMT","Airport"
"1329","BZR","LFMU","Airport"
"1330","AVN","LFMV","Airport"
"1336","BVA","LFOB","Airport"
"1340","LEH","LFOH","Airport"
"1343","XCR","LFOK","Airport"
"1344","URO","LFOP","Airport"
"1345","TUF","LFOT","Airport"
"1346","CET","LFOU","Airport"
"1347","LVA","LFOV","Airport"
"1349","LBG","LFPB","Airport"
"1351","CDG","LFPG","Airport"
"1354","TNF","LFPN","Airport"
"1355","ORY","LFPO","Airport"
"1356","POX","LFPT","Airport"
"1363","NVS","LFQG","Airport"
"1365","XME","LFQJ","Airport"
"1368","LIL","LFQQ","Airport"
"1369","HZB","LFQT","Airport"
"1370","XCZ","LFQV","Airport"
"1372","BES","LFRB","Airport"
"1373","CER","LFRC","Airport"
"1374","DNR","LFRD","Airport"
"1375","LBY","LFRE","Airport"
"1376","GFR","LFRF","Airport"
"1377","DOL","LFRG","Airport"
"1378","LRT","LFRH","Airport"
"1379","EDM","LFRI","Airport"
"1381","CFR","LFRK","Airport"
"1383","LME","LFRM","Airport"
"1384","RNS","LFRN","Airport"
"1385","LAI","LFRO","Airport"
"1386","UIP","LFRQ","Airport"
"1387","NTE","LFRS","Airport"
"1388","SBK","LFRT","Airport"
"1389","MXN","LFRU","Airport"
"1390","VNE","LFRV","Airport"
"1391","SNR","LFRZ","Airport"
"1392","BSL","LFSB","Airport"
"1394","DIJ","LFSD","Airport"
"1396","EPL","LFSG","Airport"
"1400","ENC","LFSN","Airport"
"1404","SXB","LFST","Airport"
"1407","TLN","LFTH","Airport"
"1408","FNI","LFTW","Airport"
"1409","MQC","LFVM","Airport"
"1410","FSP","LFVP","Airport"
"1415","AXD","LGAL","Airport"
"1417","VOL","LGBL","Airport"
"1419","JKH","LGHI","Airport"
"1420","IOA","LGIO","Airport"
"1421","HER","LGIR","Airport"
"1422","KSO","LGKA","Airport"
"1423","KIT","LGKC","Airport"
"1424","EFL","LGKF","Airport"
"1425","KLX","LGKL","Airport"
"1427","KGS","LGKO","Airport"
"1428","AOK","LGKP","Airport"
"1429","CFU","LGKR","Airport"
"1430","KSJ","LGKS","Airport"
"1431","KVA","LGKV","Airport"
"1432","KZI","LGKZ","Airport"
"1433","LRS","LGLE","Airport"
"1434","LXS","LGLM","Airport"
"1435","LRA","LGLR","Airport"
"1437","JMK","LGMK","Airport"
"1438","MJT","LGMT","Airport"
"1439","PVK","LGPZ","Airport"
"1441","RHO","LGRP","Airport"
"1442","GPA","LGRX","Airport"
"1443","CHQ","LGSA","Airport"
"1444","JSI","LGSK","Airport"
"1445","SMI","LGSM","Airport"
"1446","SPJ","LGSP","Airport"
"1447","JTR","LGSR","Airport"
"1448","JSH","LGST","Airport"
"1450","SKU","LGSY","Airport"
"1454","SKG","LGTS","Airport"
"1456","ZTH","LGZA","Airport"
"1457","BUD","LHBP","Airport"
"1458","DEB","LHDC","Airport"
"1465","CRV","LIBC","Airport"
"1466","BRI","LIBD","Airport"
"1467","FOG","LIBF","Airport"
"1468","TAR","LIBG","Airport"
"1470","PSR","LIBP","Airport"
"1471","BDS","LIBR","Airport"
"1473","SUF","LICA","Airport"
"1474","CTA","LICC","Airport"
"1475","LMP","LICD","Airport"
"1476","PNL","LICG","Airport"
"1477","PMO","LICJ","Airport"
"1479","REG","LICR","Airport"
"1480","TPS","LICT","Airport"
"1482","AHO","LIEA","Airport"
"1484","CAG","LIEE","Airport"
"1485","OLB","LIEO","Airport"
"1486","TTB","LIET","Airport"
"1489","MXP","LIMC","Airport"
"1490","BGY","LIME","Airport"
"1491","TRN","LIMF","Airport"
"1492","ALL","LIMG","Airport"
"1493","GOA","LIMJ","Airport"
"1494","LIN","LIML","Airport"
"1496","PMF","LIMP","Airport"
"1498","CUF","LIMZ","Airport"
"1500","BZO","LIPB","Airport"
"1502","BLQ","LIPE","Airport"
"1503","TSF","LIPH","Airport"
"1505","FRL","LIPK","Airport"
"1508","VBS","LIPO","Airport"
"1509","TRS","LIPQ","Airport"
"1510","RMI","LIPR","Airport"
"1512","VIC","LIPT","Airport"
"1513","QPA","LIPU","Airport"
"1514","VRN","LIPX","Airport"
"1515","VCE","LIPZ","Airport"
"1516","SAY","LIQS","Airport"
"1517","CIA","LIRA","Airport"
"1519","FCO","LIRF","Airport"
"1521","EBA","LIRJ","Airport"
"1524","NAP","LIRN","Airport"
"1525","PSA","LIRP","Airport"
"1526","FLR","LIRQ","Airport"
"1530","PEG","LIRZ","Airport"
"1532","LJU","LJLJ","Airport"
"1533","MBX","LJMB","Airport"
"1534","POW","LJPZ","Airport"
"1541","UHE","LKKU","Airport"
"1542","KLV","LKKV","Airport"
"1545","OSR","LKMT","Airport"
"1547","PED","LKPD","Airport"
"1550","PRG","LKPR","Airport"
"1551","BRQ","LKTB","Airport"
"1552","VOD","LKVO","Airport"
"1553","TLV","LLBG","Airport"
"1554","BEV","LLBS","Airport"
"1557","ETH","LLET","Airport"
"1559","HFA","LLHA","Airport"
"1561","RPN","LLIB","Airport"
"1565","VDA","LLOV","Airport"
"1568","SDV","LLSD","Airport"
"1569","MLA","LMML","Airport"
"1572","GRZ","LOWG","Airport"
"1573","INN","LOWI","Airport"
"1574","LNZ","LOWL","Airport"
"1575","SZG","LOWS","Airport"
"1576","VIE","LOWW","Airport"
"1580","SMA","LPAZ","Airport"
"1581","BGC","LPBG","Airport"
"1582","BYJ","LPBJ","Airport"
"1585","CAT","LPCS","Airport"
"1588","FLW","LPFL","Airport"
"1589","FAO","LPFR","Airport"
"1590","GRW","LPGR","Airport"
"1591","HOR","LPHR","Airport"
"1592","TER","LPLA","Airport"
"1596","PDL","LPPD","Airport"
"1597","PIX","LPPI","Airport"
"1598","PRM","LPPM","Airport"
"1599","OPO","LPPR","Airport"
"1600","PXO","LPPS","Airport"
"1601","LIS","LPPT","Airport"
"1602","SJZ","LPSJ","Airport"
"1605","VRL","LPVR","Airport"
"1606","VSE","LPVZ","Airport"
"1607","OMO","LQMO","Airport"
"1608","SJJ","LQSA","Airport"
"1609","ARW","LRAR","Airport"
"1610","BCM","LRBC","Airport"
"1611","BAY","LRBM","Airport"
"1612","BBU","LRBS","Airport"
"1613","CND","LRCK","Airport"
"1614","CLJ","LRCL","Airport"
"1615","CSB","LRCS","Airport"
"1616","CRA","LRCV","Airport"
"1617","IAS","LRIA","Airport"
"1618","OMR","LROD","Airport"
"1619","OTP","LROP","Airport"
"1620","SBZ","LRSB","Airport"
"1621","SUJ","LRSM","Airport"
"1622","SCV","LRSV","Airport"
"1623","TCE","LRTC","Airport"
"1624","TGM","LRTM","Airport"
"1625","TSR","LRTR","Airport"
"1627","GVA","LSGG","Airport"
"1629","SIR","LSGS","Airport"
"1637","LUG","LSZA","Airport"
"1638","BRN","LSZB","Airport"
"1639","ZHI","LSZG","Airport"
"1640","ZRH","LSZH","Airport"
"1641","ACH","LSZR","Airport"
"1642","SMV","LSZS","Airport"
"1644","ESB","LTAC","Airport"
"1647","ADA","LTAF","Airport"
"1649","AFY","LTAH","Airport"
"1650","AYT","LTAI","Airport"
"1651","GZT","LTAJ","Airport"
"1653","KYA","LTAN","Airport"
"1655","MZH","LTAP","Airport"
"1656","VAS","LTAR","Airport"
"1657","MLX","LTAT","Airport"
"1658","ASR","LTAU","Airport"
"1660","TJK","LTAW","Airport"
"1661","DNZ","LTAY","Airport"
"1662","ISL","LTBA","Airport"
"1663","BZI","LTBF","Airport"
"1664","BDM","LTBG","Airport"
"1666","ADB","LTBJ","Airport"
"1668","IGL","LTBL","Airport"
"1672","KCO","LTBQ","Airport"
"1673","DLM","LTBS","Airport"
"1675","BXN","LTBV","Airport"
"1677","EZS","LTCA","Airport"
"1678","DIY","LTCC","Airport"
"1679","ERC","LTCD","Airport"
"1680","ERZ","LTCE","Airport"
"1681","TZX","LTCG","Airport"
"1682","VAN","LTCI","Airport"
"1683","BAL","LTCJ","Airport"
"1684","SXZ","LTCL","Airport"
"1687","BZY","LUBL","Airport"
"1688","KIV","LUKK","Airport"
"1689","OHD","LWOH","Airport"
"1690","SKP","LWSK","Airport"
"1691","GIB","LXGB","Airport"
"1692","BEG","LYBE","Airport"
"1693","INI","LYNI","Airport"
"1694","TGD","LYPG","Airport"
"1695","PRN","BKPR","Airport"
"1696","TIV","LYTV","Airport"
"1698","BTS","LZIB","Airport"
"1699","KSC","LZKZ","Airport"
"1701","PZY","LZPP","Airport"
"1702","SLD","LZSL","Airport"
"1704","TAT","LZTT","Airport"
"1705","NCA","MBNC","Airport"
"1706","PLS","MBPV","Airport"
"1707","XSC","MBSC","Airport"
"1709","BRX","MDBH","Airport"
"1710","CBJ","MDCR","Airport"
"1711","LRM","MDLR","Airport"
"1712","PUJ","MDPC","Airport"
"1713","POP","MDPP","Airport"
"1714","SDQ","MDSD","Airport"
"1716","STI","MDST","Airport"
"1718","CBV","MGCB","Airport"
"1719","GUA","MGGT","Airport"
"1720","RER","MGRT","Airport"
"1721","GSJ","MGSJ","Airport"
"1722","LCE","MHLC","Airport"
"1723","SAP","MHLM","Airport"
"1724","GJA","MHNJ","Airport"
"1725","RTB","MHRO","Airport"
"1726","TEA","MHTE","Airport"
"1727","TGU","MHTG","Airport"
"1728","TJI","MHTJ","Airport"
"1730","KIN","MKJP","Airport"
"1731","MBJ","MKJS","Airport"
"1732","POT","MKKJ","Airport"
"1733","KTP","MKTP","Airport"
"1734","ACA","MMAA","Airport"
"1735","NTR","MMAN","Airport"
"1736","AGU","MMAS","Airport"
"1737","HUX","MMBT","Airport"
"1738","CVJ","MMCB","Airport"
"1739","ACN","MMCC","Airport"
"1740","CME","MMCE","Airport"
"1741","NCG","MMCG","Airport"
"1743","CUL","MMCL","Airport"
"1744","CTM","MMCM","Airport"
"1745","CEN","MMCN","Airport"
"1746","CPE","MMCP","Airport"
"1747","CJS","MMCS","Airport"
"1748","CUU","MMCU","Airport"
"1749","CVM","MMCV","Airport"
"1750","CZM","MMCZ","Airport"
"1751","DGO","MMDO","Airport"
"1752","TPQ","MMEP","Airport"
"1753","ESE","MMES","Airport"
"1754","GDL","MMGL","Airport"
"1755","GYM","MMGM","Airport"
"1756","TCN","MMHC","Airport"
"1757","HMO","MMHO","Airport"
"1758","CLQ","MMIA","Airport"
"1759","ISJ","MMIM","Airport"
"1760","SLW","MMIO","Airport"
"1761","IZT","MMIT","Airport"
"1762","LZC","MMLC","Airport"
"1763","LMM","MMLM","Airport"
"1764","BJX","MMLO","Airport"
"1765","LAP","MMLP","Airport"
"1766","LTO","MMLT","Airport"
"1767","MAM","MMMA","Airport"
"1768","MID","MMMD","Airport"
"1769","MXL","MMML","Airport"
"1770","MLM","MMMM","Airport"
"1771","MTT","MMMT","Airport"
"1772","LOV","MMMV","Airport"
"1773","MEX","MMMX","Airport"
"1774","MTY","MMMY","Airport"
"1775","MZT","MMMZ","Airport"
"1776","NOG","MMNG","Airport"
"1777","NLD","MMNL","Airport"
"1778","OAX","MMOX","Airport"
"1779","PAZ","MMPA","Airport"
"1780","PBC","MMPB","Airport"
"1782","PPE","MMPE","Airport"
"1783","PDS","MMPG","Airport"
"1784","UPN","MMPN","Airport"
"1785","PVR","MMPR","Airport"
"1786","PXM","MMPS","Airport"
"1787","QRO","MMQT","Airport"
"1788","REX","MMRX","Airport"
"1789","SJD","MMSD","Airport"
"1790","SFH","MMSF","Airport"
"1791","SLP","MMSP","Airport"
"1794","TRC","MMTC","Airport"
"1795","TGZ","MMTG","Airport"
"1796","TIJ","MMTJ","Airport"
"1797","TAM","MMTM","Airport"
"1798","TSL","MMTN","Airport"
"1799","TLC","MMTO","Airport"
"1800","TAP","MMTP","Airport"
"1801","CUN","MMUN","Airport"
"1802","VSA","MMVA","Airport"
"1803","VER","MMVR","Airport"
"1804","ZCL","MMZC","Airport"
"1805","ZIH","MMZH","Airport"
"1806","ZMM","MMZM","Airport"
"1807","ZLO","MMZO","Airport"
"1809","BEF","MNBL","Airport"
"1812","MGA","MNMG","Airport"
"1813","PUZ","MNPC","Airport"
"1814","BOC","MPBO","Airport"
"1815","CHX","MPCH","Airport"
"1816","DAV","MPDA","Airport"
"1817","BLB","MPHO","Airport"
"1818","PAC","MPMG","Airport"
"1819","SYP","MPSA","Airport"
"1820","PTY","MPTO","Airport"
"1821","BAI","MRBA","Airport"
"1822","OTR","MRCC","Airport"
"1823","JAP","MRCH","Airport"
"1826","GLF","MRGF","Airport"
"1827","GPL","MRGP","Airport"
"1828","LIR","MRLB","Airport"
"1829","LSL","MRLC","Airport"
"1830","LIO","MRLM","Airport"
"1831","NOB","MRNS","Airport"
"1832","SJO","MROC","Airport"
"1834","PMZ","MRPM","Airport"
"1835","XQP","MRQP","Airport"
"1837","TOO","MRSV","Airport"
"1838","SAL","MSLP","Airport"
"1840","CYA","MTCA","Airport"
"1841","CAP","MTCH","Airport"
"1842","JAK","MTJA","Airport"
"1843","PAP","MTPP","Airport"
"1844","BCA","MUBA","Airport"
"1845","BYM","MUBY","Airport"
"1846","AVI","MUCA","Airport"
"1847","CCC","MUCC","Airport"
"1848","CFG","MUCF","Airport"
"1849","CYO","MUCL","Airport"
"1850","CMW","MUCM","Airport"
"1851","SCU","MUCU","Airport"
"1854","GAO","MUGT","Airport"
"1855","HAV","MUHA","Airport"
"1856","HOG","MUHG","Airport"
"1857","LCL","MULM","Airport"
"1858","MOA","MUMO","Airport"
"1859","MZO","MUMZ","Airport"
"1860","GER","MUNG","Airport"
"1861","UPB","MUPB","Airport"
"1862","QPD","MUPR","Airport"
"1864","SNU","MUSC","Airport"
"1866","SZJ","MUSN","Airport"
"1867","USS","MUSS","Airport"
"1868","VRA","MUVR","Airport"
"1869","VTU","MUVT","Airport"
"1870","CYB","MWCB","Airport"
"1871","GCM","MWCR","Airport"
"1872","MAY","MYAB","Airport"
"1873","ASD","MYAF","Airport"
"1874","MHH","MYAM","Airport"
"1875","SAQ","MYAN","Airport"
"1876","AXP","MYAP","Airport"
"1878","TCB","MYAT","Airport"
"1879","CCZ","MYBC","Airport"
"1880","GHC","MYBG","Airport"
"1881","BIM","MYBS","Airport"
"1882","GGT","MYEF","Airport"
"1884","ELH","MYEH","Airport"
"1885","GHB","MYEM","Airport"
"1886","NMC","MYEN","Airport"
"1887","RSD","MYER","Airport"
"1888","TYM","MYES","Airport"
"1889","FPO","MYGF","Airport"
"1890","IGA","MYIG","Airport"
"1891","LGI","MYLD","Airport"
"1892","SML","MYLS","Airport"
"1893","MYG","MYMM","Airport"
"1894","NAS","MYNN","Airport"
"1895","DCT","MYRD","Airport"
"1896","RCY","MYRP","Airport"
"1897","ZSA","MYSM","Airport"
"1898","BZE","MZBZ","Airport"
"1899","AIT","NCAI","Airport"
"1900","RAR","NCRG","Airport"
"1901","NAN","NFFN","Airport"
"1902","SUV","NFNA","Airport"
"1903","TBU","NFTF","Airport"
"1904","VAV","NFTV","Airport"
"1905","TRW","NGTA","Airport"
"1906","TBF","NGTE","Airport"
"1907","WLS","NLWW","Airport"
"1908","APW","NSFA","Airport"
"1909","PPG","NSTU","Airport"
"1910","RUR","NTAR","Airport"
"1911","TUB","NTAT","Airport"
"1912","AAA","NTGA","Airport"
"1913","FGU","NTGB","Airport"
"1914","TIH","NTGC","Airport"
"1915","REA","NTGE","Airport"
"1916","FAV","NTGF","Airport"
"1917","XMH","NTGI","Airport"
"1918","GMR","NTGJ","Airport"
"1919","KKR","NTGK","Airport"
"1920","MKP","NTGM","Airport"
"1921","PKP","NTGP","Airport"
"1922","TKP","NTGT","Airport"
"1923","AXR","NTGU","Airport"
"1924","MVT","NTGV","Airport"
"1925","TKX","NTKR","Airport"
"1926","NHV","NTMD","Airport"
"1927","BOB","NTTB","Airport"
"1928","RGI","NTTG","Airport"
"1929","HUH","NTTH","Airport"
"1930","MOZ","NTTM","Airport"
"1931","HOI","NTTO","Airport"
"1932","MAU","NTTP","Airport"
"1933","RFP","NTTR","Airport"
"1934","VLI","NVVV","Airport"
"1935","KNQ","NWWD","Airport"
"1936","KOC","NWWK","Airport"
"1937","LIF","NWWL","Airport"
"1938","GEA","NWWM","Airport"
"1939","MEE","NWWR","Airport"
"1940","TOU","NWWU","Airport"
"1941","UVE","NWWV","Airport"
"1942","NOU","NWWW","Airport"
"1943","AKL","NZAA","Airport"
"1944","TUO","NZAP","Airport"
"1945","AMZ","NZAR","Airport"
"1946","CHC","NZCH","Airport"
"1947","CHT","NZCI","Airport"
"1948","DUD","NZDN","Airport"
"1949","GIS","NZGS","Airport"
"1950","GTN","NZGT","Airport"
"1952","HLZ","NZHN","Airport"
"1954","KKE","NZKK","Airport"
"1955","KAT","NZKT","Airport"
"1956","ALR","NZLX","Airport"
"1957","MON","NZMC","Airport"
"1958","TEU","NZMO","Airport"
"1959","MRO","NZMS","Airport"
"1960","NPL","NZNP","Airport"
"1961","NSN","NZNS","Airport"
"1962","IVC","NZNV","Airport"
"1964","OAM","NZOU","Airport"
"1965","PMR","NZPM","Airport"
"1966","PPQ","NZPP","Airport"
"1967","ZQN","NZQN","Airport"
"1968","ROT","NZRO","Airport"
"1971","TRG","NZTG","Airport"
"1972","TIU","NZTU","Airport"
"1973","TWZ","NZUK","Airport"
"1974","BHE","NZWB","Airport"
"1976","WKA","NZWF","Airport"
"1978","WHK","NZWK","Airport"
"1979","WLG","NZWN","Airport"
"1980","WIR","NZWO","Airport"
"1982","WRE","NZWR","Airport"
"1983","WSZ","NZWS","Airport"
"1984","WAG","NZWU","Airport"
"1985","HEA","OAHR","Airport"
"1986","JAA","OAJL","Airport"
"1987","KBL","OAKB","Airport"
"1988","KDH","OAKN","Airport"
"1989","MMZ","OAMN","Airport"
"1990","MZR","OAMS","Airport"
"1991","OAH","OASD","Airport"
"1993","UND","OAUZ","Airport"
"1994","BAH","OBBI","Airport"
"1996","AHB","OEAB","Airport"
"1997","HOF","OEAH","Airport"
"1998","ABT","OEBA","Airport"
"1999","BHH","OEBH","Airport"
"2001","DMM","OEDF","Airport"
"2003","GIZ","OEGN","Airport"
"2004","ELQ","OEGS","Airport"
"2005","URY","OEGT","Airport"
"2006","HAS","OEHL","Airport"
"2007","QJB","OEJB","Airport"
"2009","JED","OEJN","Airport"
"2010","KMC","OEKK","Airport"
"2011","MED","OEMA","Airport"
"2012","EAM","OENG","Airport"
"2013","AQI","OEPA","Airport"
"2018","RAH","OERF","Airport"
"2019","RUH","OERK","Airport"
"2021","RAE","OERR","Airport"
"2023","SHW","OESH","Airport"
"2024","SLF","OESL","Airport"
"2025","TUU","OETB","Airport"
"2026","TIF","OETF","Airport"
"2029","TUI","OETR","Airport"
"2030","EJH","OEWJ","Airport"
"2031","YNB","OEYN","Airport"
"2032","ABD","OIAA","Airport"
"2033","DEF","OIAD","Airport"
"2034","AKW","OIAG","Airport"
"2035","GCH","OIAH","Airport"
"2037","OMI","OIAJ","Airport"
"2038","MRX","OIAM","Airport"
"2039","AWZ","OIAW","Airport"
"2040","AEU","OIBA","Airport"
"2041","BUZ","OIBB","Airport"
"2044","KIH","OIBK","Airport"
"2045","BDH","OIBL","Airport"
"2046","KHK","OIBQ","Airport"
"2047","SXI","OIBS","Airport"
"2048","LVP","OIBV","Airport"
"2049","KSH","OICC","Airport"
"2050","SDG","OICS","Airport"
"2051","IFH","OIFE","Airport"
"2053","KKS","OIFK","Airport"
"2054","IFN","OIFM","Airport"
"2056","RAS","OIGG","Airport"
"2057","AJK","OIHR","Airport"
"2062","THR","OIII","Airport"
"2063","GZW","OIIK","Airport"
"2065","BND","OIKB","Airport"
"2066","JYR","OIKJ","Airport"
"2067","KER","OIKK","Airport"
"2068","HDR","OIKP","Airport"
"2070","SYJ","OIKY","Airport"
"2071","XBJ","OIMB","Airport"
"2072","CKT","OIMC","Airport"
"2073","RUD","OIMJ","Airport"
"2074","TCX","OIMT","Airport"
"2075","KLM","OINE","Airport"
"2076","RZR","OINR","Airport"
"2077","FAZ","OISF","Airport"
"2078","JAR","OISJ","Airport"
"2079","LFM","OISR","Airport"
"2080","SYZ","OISS","Airport"
"2081","KHY","OITK","Airport"
"2082","TBZ","OITT","Airport"
"2083","JWN","OITZ","Airport"
"2084","AZD","OIYY","Airport"
"2085","ACZ","OIZB","Airport"
"2086","ZBR","OIZC","Airport"
"2087","ZAH","OIZH","Airport"
"2088","IHR","OIZI","Airport"
"2090","AMM","OJAI","Airport"
"2091","ADJ","OJAM","Airport"
"2092","AQJ","OJAQ","Airport"
"2096","KWI","OKBK","Airport"
"2097","BEY","OLBA","Airport"
"2099","AUH","OMAA","Airport"
"2100","AZI","OMAD","Airport"
"2107","DXB","OMDB","Airport"
"2108","FJR","OMFJ","Airport"
"2109","RKT","OMRK","Airport"
"2110","SHJ","OMSJ","Airport"
"2113","MCT","OOMS","Airport"
"2114","SLL","OOSA","Airport"
"2116","BHW","OPBG","Airport"
"2117","LYP","OPFA","Airport"
"2118","GWD","OPGD","Airport"
"2119","GIL","OPGT","Airport"
"2121","KHI","OPKC","Airport"
"2122","LHE","OPLA","Airport"
"2124","XJM","OPMA","Airport"
"2125","MFG","OPMF","Airport"
"2127","MJD","OPMJ","Airport"
"2129","MUX","OPMT","Airport"
"2130","WNS","OPNH","Airport"
"2132","PJG","OPPG","Airport"
"2133","PSI","OPPI","Airport"
"2134","PEW","OPPS","Airport"
"2136","UET","OPQT","Airport"
"2137","RYK","OPRK","Airport"
"2140","RAZ","OPRT","Airport"
"2141","SKZ","OPSK","Airport"
"2142","SDT","OPSS","Airport"
"2143","SUL","OPSU","Airport"
"2144","BDN","OPTH","Airport"
"2145","WAF","OPWN","Airport"
"2146","PZH","OPZB","Airport"
"2147","BSR","ORMM","Airport"
"2148","ALP","OSAP","Airport"
"2149","DAM","OSDI","Airport"
"2151","LTK","OSLK","Airport"
"2152","PMS","OSPR","Airport"
"2153","DIA","OTBD","Airport"
