"","From","To","Type"
"196","YZH","CYZH","Airport"
"197","YZP","CYZP","Airport"
"198","YZR","CYZR","Airport"
"199","YZT","CYZT","Airport"
"200","YZU","CYZU","Airport"
"201","YZV","CYZV","Airport"
"202","YZW","CYZW","Airport"
"204","ZFA","CZFA","Airport"
"205","ZFM","CZFM","Airport"
"206","QLD","DAAB","Airport"
"207","BUJ","DAAD","Airport"
"208","BJA","DAAE","Airport"
"209","ALG","DAAG","Airport"
"210","DJG","DAAJ","Airport"
"213","VVZ","DAAP","Airport"
"215","TMR","DAAT","Airport"
"216","GJL","DAAV","Airport"
"217","MZW","DAAY","Airport"
"219","AAE","DABB","Airport"
"220","CZL","DABC","Airport"
"221","TEE","DABS","Airport"
"222","HRM","DAFH","Airport"
"223","TID","DAOB","Airport"
"225","TIN","DAOF","Airport"
"226","CFK","DAOI","Airport"
"227","TAF","DAOL","Airport"
"228","TLM","DAON","Airport"
"229","ORN","DAOO","Airport"
"230","BFW","DAOS","Airport"
"231","MUW","DAOV","Airport"
"232","AZR","DAUA","Airport"
"233","BSK","DAUB","Airport"
"234","ELG","DAUE","Airport"
"235","GHA","DAUG","Airport"
"236","HME","DAUH","Airport"
"237","INZ","DAUI","Airport"
"238","TGR","DAUK","Airport"
"239","LOO","DAUL","Airport"
"240","TMX","DAUT","Airport"
"241","OGX","DAUU","Airport"
"242","IAM","DAUZ","Airport"
"243","COO","DBBB","Airport"
"244","OUA","DFFD","Airport"
"245","BOY","DFOO","Airport"
"246","ACC","DGAA","Airport"
"247","TML","DGLE","Airport"
"249","NYI","DGSN","Airport"
"250","TKD","DGTK","Airport"
"251","ABJ","DIAP","Airport"
"252","BYK","DIBK","Airport"
"253","DJO","DIDL","Airport"
"254","HGO","DIKO","Airport"
"255","MJC","DIMN","Airport"
"256","SPY","DISP","Airport"
"257","ASK","DIYO","Airport"
"258","ABV","DNAA","Airport"
"259","AKR","DNAK","Airport"
"260","BNI","DNBE","Airport"
"261","CBQ","DNCA","Airport"
"262","ENU","DNEN","Airport"
"264","IBA","DNIB","Airport"
"265","ILR","DNIL","Airport"
"266","JOS","DNJO","Airport"
"267","KAD","DNKA","Airport"
"268","KAN","DNKN","Airport"
"269","MIU","DNMA","Airport"
"270","MDI","DNMK","Airport"
"271","LOS","DNMM","Airport"
"272","MXJ","DNMN","Airport"
"273","PHC","DNPO","Airport"
"274","SKO","DNSO","Airport"
"275","YOL","DNYO","Airport"
"276","ZAR","DNZA","Airport"
"277","MFQ","DRRM","Airport"
"278","NIM","DRRN","Airport"
"279","THZ","DRRT","Airport"
"280","AJY","DRZA","Airport"
"283","ZND","DRZR","Airport"
"284","MIR","DTMB","Airport"
"285","TUN","DTTA","Airport"
"288","GAF","DTTF","Airport"
"289","GAE","DTTG","Airport"
"291","DJE","DTTJ","Airport"
"292","EBM","DTTR","Airport"
"293","SFA","DTTX","Airport"
"294","TOE","DTTZ","Airport"
"295","LRL","DXNG","Airport"
"296","LFW","DXXX","Airport"
"297","ANR","EBAW","Airport"
"300","BRU","EBBR","Airport"
"302","CRL","EBCI","Airport"
"306","KJK","EBKT","Airport"
"307","LGG","EBLG","Airport"
"308","OST","EBOS","Airport"
"316","AOC","EDAC","Airport"
"322","IES","EDAU","Airport"
"323","REB","EDAX","Airport"
"325","QXH","EDAZ","Airport"
"326","BBH","EDBH","Airport"
"329","ZMG","EDBM","Airport"
"332","CBU","EDCD","Airport"
"334","SXF","EDDB","Airport"
"335","DRS","EDDC","Airport"
"336","ERF","EDDE","Airport"
"337","FRA","EDDF","Airport"
"338","FMO","EDDG","Airport"
"339","HAM","EDDH","Airport"
"340","THF","EDDI","Airport"
"341","CGN","EDDK","Airport"
"342","DUS","EDDL","Airport"
"343","MUC","EDDM","Airport"
"344","NUE","EDDN","Airport"
"345","LEJ","EDDP","Airport"
"346","SCN","EDDR","Airport"
"347","STR","EDDS","Airport"
"348","TXL","EDDT","Airport"
"349","HAJ","EDDV","Airport"
"350","BRE","EDDW","Airport"
"351","QEF","EDFE","Airport"
"352","HHN","EDFH","Airport"
"353","MHG","EDFM","Airport"
"357","EIB","EDGE","Airport"
"358","SGE","EDGS","Airport"
"359","XFW","EDHI","Airport"
"360","KEL","EDHK","Airport"
"361","LBC","EDHL","Airport"
"365","ESS","EDLE","Airport"
"366","BFE","EDLI","Airport"
"367","MGL","EDLN","Airport"
"368","PAD","EDLP","Airport"
"370","DTM","EDLW","Airport"
"371","AGB","EDMA","Airport"
"375","OBF","EDMO","Airport"
"376","RBM","EDMS","Airport"
"379","FDH","EDNY","Airport"
"380","SZW","EDOP","Airport"
"383","BYU","EDQD","Airport"
"384","URD","EDQE","Airport"
"385","HOQ","EDQM","Airport"
"390","ZQW","EDRZ","Airport"
"391","ZQL","EDTD","Airport"
"396","BWE","EDVE","Airport"
"397","KSF","EDVK","Airport"
"399","BRV","EDWB","Airport"
"400","EME","EDWE","Airport"
"402","WVN","EDWI","Airport"
"403","BMK","EDWR","Airport"
"404","NRD","EDWY","Airport"
"405","FLF","EDXF","Airport"
"407","GWT","EDXW","Airport"
"409","KDL","EEKA","Airport"
"410","URE","EEKE","Airport"
"411","EPU","EEPU","Airport"
"412","TLL","EETN","Airport"
"413","TAY","EETU","Airport"
"414","ENF","EFET","Airport"
"416","KEV","EFHA","Airport"
"417","HEM","EFHF","Airport"
"418","HEL","EFHK","Airport"
"424","KTQ","EFIT","Airport"
"425","IVL","EFIV","Airport"
"426","JOE","EFJO","Airport"
"427","JYV","EFJY","Airport"
"428","KAU","EFKA","Airport"
"429","KEM","EFKE","Airport"
"430","KAJ","EFKI","Airport"
"431","KHJ","EFKJ","Airport"
"432","KOK","EFKK","Airport"
"434","KAO","EFKS","Airport"
"435","KTT","EFKT","Airport"
"436","KUO","EFKU","Airport"
"437","QLF","EFLA","Airport"
"438","LPP","EFLP","Airport"
"439","MHQ","EFMA","Airport"
"441","MIK","EFMI","Airport"
"443","OUL","EFOU","Airport"
"445","POR","EFPO","Airport"
"450","RVN","EFRO","Airport"
"452","SVL","EFSA","Airport"
"454","SOT","EFSO","Airport"
"455","TMP","EFTP","Airport"
"457","TKU","EFTU","Airport"
"459","VAA","EFVA","Airport"
"460","VRK","EFVR","Airport"
"462","BFS","EGAA","Airport"
"463","ENK","EGAB","Airport"
"464","BHD","EGAC","Airport"
"465","LDY","EGAE","Airport"
"466","BHX","EGBB","Airport"
"467","CVT","EGBE","Airport"
"469","GLO","EGBJ","Airport"
"471","GBA","EGBP","Airport"
"474","MAN","EGCC","Airport"
"477","NQY","EGHQ","Airport"
"483","HAW","EGFE","Airport"
"484","CWL","EGFF","Airport"
"485","SWS","EGFH","Airport"
"486","BRS","EGGD","Airport"
"487","LPL","EGGP","Airport"
"488","LTN","EGGW","Airport"
"489","PLH","EGHD","Airport"
"490","BOH","EGHH","Airport"
"491","SOU","EGHI","Airport"
"492","QLA","EGHL","Airport"
"493","ACI","EGJA","Airport"
"494","GCI","EGJB","Airport"
"495","JER","EGJJ","Airport"
"496","ESH","EGKA","Airport"
"497","BQH","EGKB","Airport"
"498","LGW","EGKK","Airport"
"499","LCY","EGLC","Airport"
"500","FAB","EGLF","Airport"
"502","BBS","EGLK","Airport"
"503","LHR","EGLL","Airport"
"504","SEN","EGMC","Airport"
"505","LYX","EGMD","Airport"
"506","MSE","EGMH","Airport"
"508","CAX","EGNC","Airport"
"510","BLK","EGNH","Airport"
"511","HUY","EGNJ","Airport"
"512","BWF","EGNL","Airport"
"513","LBA","EGNM","Airport"
"514","WRT","EGNO","Airport"
"515","CEG","EGNR","Airport"
"516","IOM","EGNS","Airport"
"517","NCL","EGNT","Airport"
"518","MME","EGNV","Airport"
"519","EMA","EGNX","Airport"
"524","KOI","EGPA","Airport"
"525","LSI","EGPB","Airport"
"526","WIC","EGPC","Airport"
"527","ABZ","EGPD","Airport"
"528","INV","EGPE","Airport"
"529","GLA","EGPF","Airport"
"530","EDI","EGPH","Airport"
"531","ILY","EGPI","Airport"
"532","PIK","EGPK","Airport"
"533","BEB","EGPL","Airport"
"534","SCS","EGPM","Airport"
"535","DND","EGPN","Airport"
"536","SYY","EGPO","Airport"
"537","TRE","EGPU","Airport"
"540","CBG","EGSC","Airport"
"542","NWI","EGSH","Airport"
"543","STN","EGSS","Airport"
"547","EXT","EGTE","Airport"
"548","FZO","EGTG","Airport"
"549","OXF","EGTK","Airport"
"574","MPN","EGYP","Airport"
"575","AMS","EHAM","Airport"
"577","MST","EHBK","Airport"
"580","EIN","EHEH","Airport"
"581","GRQ","EHGG","Airport"
"583","DHR","EHKD","Airport"
"584","LEY","EHLE","Airport"
"586","RTM","EHRD","Airport"
"588","ENS","EHTW","Airport"
"591","ORK","EICK","Airport"
"592","GWY","EICM","Airport"
"593","DUB","EIDW","Airport"
"594","NOC","EIKN","Airport"
"595","KIR","EIKY","Airport"
"597","SNN","EINN","Airport"
"598","SXL","EISG","Airport"
"599","WAT","EIWF","Airport"
"600","AAR","EKAH","Airport"
"601","BLL","EKBI","Airport"
"602","CPH","EKCH","Airport"
"603","EBJ","EKEB","Airport"
"605","KRP","EKKA","Airport"
"606","BYR","EKLS","Airport"
"607","MRW","EKMB","Airport"
"608","ODE","EKOD","Airport"
"610","RKE","EKRK","Airport"
"611","RNN","EKRN","Airport"
"612","SGD","EKSB","Airport"
"614","SQW","EKSV","Airport"
"615","TED","EKTS","Airport"
"617","FAE","EKVG","Airport"
"619","STA","EKVJ","Airport"
"620","AAL","EKYT","Airport"
"621","LUX","ELLX","Airport"
"622","AES","ENAL","Airport"
"623","ANX","ENAN","Airport"
"624","ALF","ENAT","Airport"
"626","BNN","ENBN","Airport"
"627","BOO","ENBO","Airport"
"628","BGO","ENBR","Airport"
"629","BJF","ENBS","Airport"
"630","KRS","ENCN","Airport"
"631","DLD","ENDI","Airport"
"632","BDU","ENDU","Airport"
"633","EVE","ENEV","Airport"
"634","VDB","ENFG","Airport"
"635","FRO","ENFL","Airport"
"637","HAU","ENHD","Airport"
"638","HAA","ENHK","Airport"
"639","KSU","ENKB","Airport"
"641","KKN","ENKR","Airport"
"642","FAN","ENLI","Airport"
"643","MOL","ENML","Airport"
"644","MJF","ENMS","Airport"
